fecha_evento,albaran_id,eventos_total,eventos_override,coherence_before,coherence_after,policy_applied,policy_reason,run_id,ts_utc
2028-02-22,AE 179,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-22,AE 180,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-22,AE 181,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-22,AE 182,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-27,AE 196,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-27,AE 197,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-27,AE 198,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-27,AE 199,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-27,AE 200,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-27,AE 201,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-29,AE 202,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-29,AE 203,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-29,AE 204,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-02-29,AE 205,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-01,AE 206,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-01,AE 207,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-01,AE 208,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-01,AE 209,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-01,AE 210,3,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-01,AE 211,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-04,AE 212,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-05,AE 213,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-05,AE 214,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-05,AE 215,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-05,AE 216,2,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-05,AE 217,5,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-05,AE 218,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-05,AE 219,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-05,AE 220,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-06,AE 221,5,2,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-06,AE 224,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-06,AE 225,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-06,AE 226,4,2,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-07,AE 229,5,2,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-07,AE 230,4,2,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-08,AE 233,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-08,AE 234,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-08,AE 235,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-08,AE 237,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-11,AE 238,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 239,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 240,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 241,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 242,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 243,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 244,4,2,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 245,3,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 246,5,2,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-12,AE 247,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 248,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 249,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 250,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 252,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 253,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-13,AE 254,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 255,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 256,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 257,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 259,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-14,AE 260,2,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-15,AE 261,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-15,AE 262,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
