event_id,fecha_evento,albaran_id,linea_id,producto_canonico,terminal_compra,recommended_supplier,decision_pre_policy,decision_final,decision_source,override_reason,policy_applied_event,policy_rule_id,policy_reason_event,blocked_candidates_count,run_id,ts_utc
000a484e296598f8254cbc5b17f9a2d52aafd5bb,2028-06-11,AE 525,1,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
0035d8fca197f917d3e48430d1b254d2b803fb5e,2028-03-13,AE 248,1,PRODUCT_001,TERMINAL_002,SUPPLIER_007,SUPPLIER_007,SUPPLIER_007,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
0061169fdbacefbf48cbec6f5e58286a859a35e5,2029-07-01,AE 487,2,PRODUCT_002,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
006dd3a0945d076432ef962a13a6752fa65143a3,2029-01-10,AE 19,4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
008dc37fae14ecb378bd681747e145bbbf021910,2029-02-14,AE 104,4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
00a8f81f214a06264c724a47a2a76422952cc557,2029-06-05,AE 387,2,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
00b573adc401ae51729cc91c18f62f1e00cd6ede,2029-06-25,AE 466,4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
010e1f1f4222a19b608ae46cb4930ac813b54baa,2029-06-03,AE 379,3,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
011405d096dbdddb7c130fe717526312f48b553e,2028-05-06,AE 408,3,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
0115b8672424edddae7a7cfe57465cfbd900bb48,2029-02-14,AE 102,4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
0183a8d131620d845458a09dd098ded3bfe43840,2028-05-14,AE 433,3,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
01ab60f7a65baedb2f64b956ad89f1a6adcdbe96,2029-07-03,AE 494,1,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
01d304d8712ac1d02a9b89f6965141298e5c6c8d,2029-06-04,AE 382,4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
01dc32152c8d35e97999a6dbe00874acf6cf9ae6,2029-02-27,AE 141,2,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
01e9683fdc1a8d8534bfdc3b686469f4879d9e69,2028-03-06,AE 221,1,PRODUCT_002,TERMINAL_001,SUPPLIER_007,SUPPLIER_007,SUPPLIER_009,policy_albaran_coherence,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,1,P_DAY03_PRODUCT_002_FOLLOW_PRODUCT_003_SUPPLIER_009,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,2,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
020ce2343aca5acfaf635c9e368e19f23dae638a,2028-04-11,AE 347,1,PRODUCT_002,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
020eb2dcbb92d55e7c9dc9514de245ca96d0569e,2029-05-15,AE 326,1,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
025f3f81d698bca89ff6b9dc6e91de43162d17a9,2028-03-13,AE 248,2,PRODUCT_001,TERMINAL_002,SUPPLIER_007,SUPPLIER_007,SUPPLIER_007,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
0266d122df008685f13d905ffc007697f7056464,2028-03-26,AE 304,4,PRODUCT_002,TERMINAL_001,SUPPLIER_007,SUPPLIER_007,SUPPLIER_007,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
026a680da627ed1eec7768df421d43c5b3178c4a,2028-06-13,AE 528,1,PRODUCT_002,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
02832cf5c3a439de7e4b3fa363f73a900019caa3,2029-04-09,AE 218,2,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
028af170257d22f7caa6fead7684a5eaaf0670b6,2028-04-22,AE 372,4,PRODUCT_002,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
028ce92aaaeba2ecde8801df5c0ff9066307a012,2028-05-09,AE 420,1,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
02eb63e1926e715c0a5f14c709c96ccc305485b1,2028-02-22,AE 181,3,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
02ec3f44eb7e5bb212ddb7588e33737cd7aa24f6,2029-04-23,AE 254,3,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
030c17d58707ee6a8f6a89542405ccefff3921c0,2029-06-05,AE 390,2,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
030f071e3d8a8eb3ad6b1fac77b0e174e62d206c,2028-04-17,AE 360,4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,0,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
032448a53673a2b01959295477753d0e95b5463a,2028-03-22,AE 289,1,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
0336e1c1bffb8165597227b5dc57bb6739ba8c26,2028-06-14,AE 535,4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,SUPPLIER_009,SUPPLIER_009,model,,0,,,1,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
