fecha_oferta,producto_canonico,proveedor_candidato,day042_source_kind,transport_source_kind,transport_bucket_origin,transport_source_date,transport_days_gap,transport_imputed_flag,transport_lookahead_flag,no_raw_subreason,v2_row_count
2021-04-03,PRODUCT_001,SUPPLIER_001,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_023,missing,missing,no_raw_source,2021-04-03,,0,0,same_date_product_other_provider_only,1
2021-04-03,PRODUCT_001,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,1
2021-04-03,PRODUCT_001,SUPPLIER_061,missing,missing,no_raw_source,2021-04-03,,0,0,same_date_product_other_provider_only,1
2021-04-03,PRODUCT_002,SUPPLIER_001,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_022,missing,missing,no_raw_source,2021-04-03,,0,0,same_date_product_other_provider_only,9
2021-04-03,PRODUCT_002,SUPPLIER_023,missing,missing,no_raw_source,2021-04-03,,0,0,same_date_product_other_provider_only,9
2021-04-03,PRODUCT_002,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,9
2021-04-03,PRODUCT_002,SUPPLIER_061,missing,missing,no_raw_source,2021-04-03,,0,0,same_date_product_other_provider_only,9
2021-04-03,PRODUCT_003,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_022,missing,missing,no_raw_source,2021-04-03,,0,0,same_date_product_other_provider_only,11
2021-04-03,PRODUCT_003,SUPPLIER_023,missing,missing,no_raw_source,2021-04-03,,0,0,same_date_product_other_provider_only,11
2021-04-03,PRODUCT_003,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-03,0.0,0,0,,11
2021-04-03,PRODUCT_003,SUPPLIER_061,missing,missing,no_raw_source,2021-04-03,,0,0,same_date_product_other_provider_only,11
2021-04-04,PRODUCT_001,SUPPLIER_001,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,2
2021-04-04,PRODUCT_001,SUPPLIER_061,missing,missing,no_raw_source,2021-04-04,,0,0,same_date_product_other_provider_only,2
2021-04-04,PRODUCT_002,SUPPLIER_001,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_022,missing,missing,no_raw_source,2021-04-04,,0,0,same_date_product_other_provider_only,10
2021-04-04,PRODUCT_002,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,10
2021-04-04,PRODUCT_002,SUPPLIER_061,missing,missing,no_raw_source,2021-04-04,,0,0,same_date_product_other_provider_only,10
2021-04-04,PRODUCT_003,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_022,missing,missing,no_raw_source,2021-04-04,,0,0,same_date_product_other_provider_only,8
2021-04-04,PRODUCT_003,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-04,0.0,0,0,,8
2021-04-04,PRODUCT_003,SUPPLIER_061,missing,missing,no_raw_source,2021-04-04,,0,0,same_date_product_other_provider_only,8
2021-04-05,PRODUCT_002,SUPPLIER_001,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_022,missing,missing,no_raw_source,2021-04-05,,0,0,same_date_product_other_provider_only,3
2021-04-05,PRODUCT_002,SUPPLIER_023,missing,missing,no_raw_source,2021-04-05,,0,0,same_date_product_other_provider_only,3
2021-04-05,PRODUCT_002,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,3
2021-04-05,PRODUCT_002,SUPPLIER_061,missing,missing,no_raw_source,2021-04-05,,0,0,same_date_product_other_provider_only,3
2021-04-05,PRODUCT_003,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_022,missing,missing,no_raw_source,2021-04-05,,0,0,same_date_product_other_provider_only,12
2021-04-05,PRODUCT_003,SUPPLIER_023,missing,missing,no_raw_source,2021-04-05,,0,0,same_date_product_other_provider_only,12
2021-04-05,PRODUCT_003,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-05,0.0,0,0,,12
2021-04-05,PRODUCT_003,SUPPLIER_061,missing,missing,no_raw_source,2021-04-05,,0,0,same_date_product_other_provider_only,12
2021-04-06,PRODUCT_001,SUPPLIER_001,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_023,missing,missing,no_raw_source,2021-04-06,,0,0,same_date_product_other_provider_only,5
2021-04-06,PRODUCT_001,SUPPLIER_042,missing,missing,no_raw_source,2021-04-06,,0,0,same_date_product_other_provider_only,5
2021-04-06,PRODUCT_001,SUPPLIER_049,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_050,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_053,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_001,SUPPLIER_054,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,5
2021-04-06,PRODUCT_002,SUPPLIER_001,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,7
2021-04-06,PRODUCT_002,SUPPLIER_003,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,7
2021-04-06,PRODUCT_002,SUPPLIER_004,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,7
2021-04-06,PRODUCT_002,SUPPLIER_009,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,7
2021-04-06,PRODUCT_002,SUPPLIER_013,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,7
2021-04-06,PRODUCT_002,SUPPLIER_020,raw_explicit,raw_explicit,exact_raw_match,2021-04-06,0.0,0,0,,7
2021-04-06,PRODUCT_002,SUPPLIER_022,missing,missing,no_raw_source,2021-04-06,,0,0,same_date_product_other_provider_only,7
