fecha_compra,albaran_id,linea_id,producto_canonico,terminal_canonico,proveedor_canonico,litros,precio_unitario,importe_total,coste_min_dia_proveedor,rank_coste_dia_producto,terminales_cubiertos,feature_oferta_disponible,dia_semana,mes,fin_mes,blocked_by_rule,block_reason,proveedor_elegido,source_file,source_transform_run_id,marts_run_id,marts_ts_utc
2021-04-03,ALBARAN_D7E0C13BBBBC,LINE_0CBDAF1D1C30,PRODUCT_002,TERMINAL_001,SUPPLIER_009,9999,0.79428,7942.01,799.35,6.0,4.0,1,0,4,0,0,,SUPPLIER_009,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2021-04-03,ALBARAN_D7E0C13BBBBC,LINE_07771A799E32,PRODUCT_002,TERMINAL_001,SUPPLIER_009,4999,0.79428,3970.61,799.35,6.0,4.0,1,0,4,0,0,,SUPPLIER_009,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2021-04-03,ALBARAN_D7E0C13BBBBC,LINE_4B983CB16D58,PRODUCT_003,TERMINAL_001,SUPPLIER_009,1999,0.47957,958.66,489.29,10.0,4.0,1,0,4,0,0,,SUPPLIER_009,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2021-04-03,ALBARAN_D7E0C13BBBBC,LINE_ECBE43367EA4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,13001,0.47957,6234.89,489.29,10.0,4.0,1,0,4,0,0,,SUPPLIER_009,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2021-04-03,ALBARAN_D7E0C13BBBBC,LINE_06CBC590750C,PRODUCT_003,TERMINAL_001,SUPPLIER_009,1999,0.47957,958.66,489.29,10.0,4.0,1,0,4,0,0,,SUPPLIER_009,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2022-01-02,ALBARAN_D7E0C13BBBBC,LINE_7C0BB011E64C,PRODUCT_002,TERMINAL_002,SUPPLIER_050,10052,0.83002,8403.67,834.141,1.0,3.0,1,1,1,0,0,,SUPPLIER_050,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2022-01-02,ALBARAN_D7E0C13BBBBC,LINE_AB629A6450B0,PRODUCT_002,TERMINAL_002,SUPPLIER_050,4998,0.83002,4178.43,834.141,1.0,3.0,1,1,1,0,0,,SUPPLIER_050,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2022-01-02,ALBARAN_D7E0C13BBBBC,LINE_D48EFF1512FF,PRODUCT_002,TERMINAL_002,SUPPLIER_050,6951,0.83002,5811.18,834.141,1.0,3.0,1,1,1,0,0,,SUPPLIER_050,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2022-01-02,ALBARAN_D7E0C13BBBBC,LINE_F9F1CB7DBF80,PRODUCT_003,TERMINAL_002,SUPPLIER_050,10000,0.5283,5343.0,532.422,2.0,3.0,1,1,1,0,0,,SUPPLIER_050,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
2023-01-02,ALBARAN_D7E0C13BBBBC,LINE_267422C4817D,PRODUCT_002,TERMINAL_002,SUPPLIER_050,10002,0.790164,7963.23,794.284,1.0,3.0,1,2,1,0,0,,SUPPLIER_050,SOURCE_3EF4FA15DAD7,RUN_F9DD4879EEBD,RUN_060EECAEE61E,2030-02-23T13:50:24Z
