event_id,fecha_evento,albaran_id,linea_id,producto_canonico,terminal_compra,proveedor_elegido_real,litros_evento,precio_unitario_evento,importe_total_evento,dia_semana,mes,fin_mes,exclusion_reason,event_has_candidates,positive_labels
EVENT_AA407A70117A,2028-01-02,ALBARAN_D7E0C13BBBBC,LINE_0CBDAF1D1C30,PRODUCT_002,TERMINAL_001,SUPPLIER_007,9998,0.955,9648.07,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_0AED63EC3E0E,2028-01-02,ALBARAN_D7E0C13BBBBC,LINE_07771A799E32,PRODUCT_001,TERMINAL_001,SUPPLIER_007,1998,1.082,2181.82,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_0FADA6B57309,2028-01-02,ALBARAN_D7E0C13BBBBC,LINE_4B983CB16D58,PRODUCT_001,TERMINAL_001,SUPPLIER_007,4000,1.082,4368.0,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_15A518AECC7E,2028-01-02,ALBARAN_D7E0C13BBBBC,LINE_ECBE43367EA4,PRODUCT_002,TERMINAL_001,SUPPLIER_007,5002,0.955,4826.93,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_3AB0081F87C8,2028-01-02,ALBARAN_D7E0C13BBBBC,LINE_06CBC590750C,PRODUCT_002,TERMINAL_001,SUPPLIER_007,10999,0.955,10614.04,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_82A18A8EA8D3,2029-01-02,ALBARAN_D7E0C13BBBBC,LINE_0CBDAF1D1C30,PRODUCT_002,TERMINAL_001,SUPPLIER_009,10001,1.04517,10652.77,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_B86F2FE7605A,2029-01-02,ALBARAN_D7E0C13BBBBC,LINE_07771A799E32,PRODUCT_003,TERMINAL_001,SUPPLIER_009,5005,0.74901,3848.9,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_B69C1EF1A54F,2029-01-02,ALBARAN_D7E0C13BBBBC,LINE_4B983CB16D58,PRODUCT_003,TERMINAL_001,SUPPLIER_009,4996,0.74901,3841.97,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_34F5BC3F4555,2029-01-02,ALBARAN_D7E0C13BBBBC,LINE_ECBE43367EA4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,12000,0.74901,9228.12,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_608F3A923F67,2028-01-02,ALBARAN_2394210F108A,LINE_0CBDAF1D1C30,PRODUCT_003,TERMINAL_002,SUPPLIER_009,10007,0.74701,7675.47,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_181598148330,2028-01-02,ALBARAN_2394210F108A,LINE_07771A799E32,PRODUCT_003,TERMINAL_002,SUPPLIER_009,5004,0.74701,3838.12,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_A9411A070FE8,2028-01-02,ALBARAN_2394210F108A,LINE_4B983CB16D58,PRODUCT_003,TERMINAL_002,SUPPLIER_009,3988,0.74701,3058.84,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_3C3CA03CA140,2028-01-02,ALBARAN_2394210F108A,LINE_ECBE43367EA4,PRODUCT_003,TERMINAL_002,SUPPLIER_009,13007,0.74701,9976.5,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_70B47E4D7989,2029-01-02,ALBARAN_2394210F108A,LINE_0CBDAF1D1C30,PRODUCT_002,TERMINAL_001,SUPPLIER_009,4999,1.04517,5324.780000000001,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_1FC215787288,2029-01-02,ALBARAN_2394210F108A,LINE_07771A799E32,PRODUCT_003,TERMINAL_001,SUPPLIER_009,9999,0.74901,7689.33,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_F2E3FF009407,2029-01-02,ALBARAN_2394210F108A,LINE_4B983CB16D58,PRODUCT_001,TERMINAL_001,SUPPLIER_009,999,1.10527,1124.14,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_CBC168BD8983,2027-01-05,ALBARAN_50F6B94751FC,LINE_0CBDAF1D1C30,PRODUCT_002,TERMINAL_001,SUPPLIER_050,9998,1.263503,12732.48,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_636715D9FA49,2028-01-02,ALBARAN_50F6B94751FC,LINE_0CBDAF1D1C30,PRODUCT_002,TERMINAL_001,SUPPLIER_009,10000,1.04372,10637.2,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_ADF3C34EFBCC,2028-01-02,ALBARAN_50F6B94751FC,LINE_07771A799E32,PRODUCT_003,TERMINAL_001,SUPPLIER_009,5001,0.74701,3835.82,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_277F4AF905D0,2028-01-02,ALBARAN_50F6B94751FC,LINE_4B983CB16D58,PRODUCT_003,TERMINAL_001,SUPPLIER_009,4000,0.74701,3068.04,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_43734755CF89,2028-01-02,ALBARAN_50F6B94751FC,LINE_ECBE43367EA4,PRODUCT_003,TERMINAL_001,SUPPLIER_009,13000,0.74701,9971.13,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_9617CDB45EE0,2024-01-03,ALBARAN_F9AA903D86ED,LINE_267422C4817D,PRODUCT_003,TERMINAL_002,SUPPLIER_010,1502,0.56838,877.74,4,1,0,chosen_provider_not_in_candidates,True,0
EVENT_D06F53D01076,2027-01-05,ALBARAN_F9AA903D86ED,LINE_0CBDAF1D1C30,PRODUCT_001,TERMINAL_001,SUPPLIER_009,4999,1.18162,5956.91,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_55B61D846FB0,2028-01-02,ALBARAN_F9AA903D86ED,LINE_0CBDAF1D1C30,PRODUCT_002,TERMINAL_001,SUPPLIER_009,2999,1.04372,3190.1000000000004,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_EB16EEB5904E,2028-01-02,ALBARAN_F9AA903D86ED,LINE_07771A799E32,PRODUCT_003,TERMINAL_001,SUPPLIER_009,10001,0.74701,7670.870000000001,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_F058676BD96F,2028-01-02,ALBARAN_F9AA903D86ED,LINE_4B983CB16D58,PRODUCT_003,TERMINAL_001,SUPPLIER_009,4944,0.74701,3792.1,1,1,0,chosen_provider_not_in_candidates,True,0
EVENT_FC0CDA26D68D,2027-01-05,ALBARAN_3D45865AEAA1,LINE_0CBDAF1D1C30,PRODUCT_002,TERMINAL_001,SUPPLIER_050,9997,1.263503,12731.21,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_BE87BE5F1878,2027-01-05,ALBARAN_3D45865AEAA1,LINE_07771A799E32,PRODUCT_001,TERMINAL_001,SUPPLIER_050,4998,1.228931,6192.18,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_EE936A182338,2027-01-05,ALBARAN_3D45865AEAA1,LINE_4B983CB16D58,PRODUCT_002,TERMINAL_001,SUPPLIER_050,5002,1.263503,6370.06,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_D1CA45AA39DC,2027-01-05,ALBARAN_3D45865AEAA1,LINE_ECBE43367EA4,PRODUCT_002,TERMINAL_001,SUPPLIER_050,11998,1.263503,15279.490000000002,3,1,0,chosen_provider_not_in_candidates,True,0
EVENT_043967F33739,2028-01-05,ALBARAN_89D428A863FC,LINE_0CBDAF1D1C30,PRODUCT_003,TERMINAL_001,SUPPLIER_009,2002,0.77091,1583.4,4,1,0,chosen_provider_not_in_candidates,True,0
EVENT_BD57954113FA,2028-01-05,ALBARAN_89D428A863FC,LINE_07771A799E32,PRODUCT_002,TERMINAL_001,SUPPLIER_009,5999,1.05097,6424.75,4,1,0,chosen_provider_not_in_candidates,True,0
EVENT_15D33D768225,2028-01-05,ALBARAN_89D428A863FC,LINE_4B983CB16D58,PRODUCT_001,TERMINAL_001,SUPPLIER_009,1998,1.09827,2234.3,4,1,0,chosen_provider_not_in_candidates,True,0
