event_id,fecha_evento,albaran_id,linea_id,producto_canonico,terminal_compra,proveedor_elegido_real,proveedor_candidato,coste_min_dia_proveedor,rank_coste_dia_producto,terminales_cubiertos,observaciones_oferta,candidatos_evento_count,coste_min_evento,coste_max_evento,spread_coste_evento,delta_vs_min_evento,ratio_vs_min_evento,litros_evento,precio_unitario_evento,importe_total_evento,dia_semana,mes,fin_mes,blocked_by_rule_candidate,block_reason_candidate,target_elegido,v2_run_id,v2_ts_utc
EVT_0000_000,2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,SUPPLIER_01,0.81616,1,3,10,8,0.81616,0.84935,0.03319,0.0,0.0,22555,0.81616,18408.49,0,1,0,0,,1,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_000,2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,SUPPLIER_02,0.821,2,3,11,8,0.81616,0.84935,0.03319,0.00484,0.00593,22555,0.81616,18408.49,0,1,0,0,,0,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_000,2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,SUPPLIER_03,0.829,3,7,10,8,0.81616,0.84935,0.03319,0.01284,0.015732,22555,0.81616,18408.49,0,1,0,0,,0,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_000,2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,SUPPLIER_04,0.82994,4,5,7,8,0.81616,0.84935,0.03319,0.01378,0.016884,22555,0.81616,18408.49,0,1,0,0,,0,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_000,2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,SUPPLIER_05,0.8348,5,6,5,8,0.81616,0.84935,0.03319,0.01864,0.022839,22555,0.81616,18408.49,0,1,0,1,RULE_BLOCK_GENERIC,0,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_000,2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,SUPPLIER_07,0.83732,6,8,9,8,0.81616,0.84935,0.03319,0.02116,0.025926,22555,0.81616,18408.49,0,1,0,0,,0,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_000,2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,SUPPLIER_09,0.84773,7,5,6,8,0.81616,0.84935,0.03319,0.03157,0.038681,22555,0.81616,18408.49,0,1,0,0,,0,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_000,2024-01-01,DOC_0000_000,LINE_0000_000,PRODUCT_D,TERM_007,SUPPLIER_01,SUPPLIER_08,0.84935,8,3,7,8,0.81616,0.84935,0.03319,0.03319,0.040666,22555,0.81616,18408.49,0,1,0,0,,0,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_001,2024-01-01,DOC_0000_001,LINE_0000_001,PRODUCT_D,TERM_002,SUPPLIER_03,SUPPLIER_03,0.81645,1,7,10,6,0.81645,0.8661,0.04965,0.0,0.0,23517,0.81645,19200.45,0,1,0,0,,1,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
EVT_0000_001,2024-01-01,DOC_0000_001,LINE_0000_001,PRODUCT_D,TERM_002,SUPPLIER_03,SUPPLIER_02,0.81936,2,3,10,6,0.81645,0.8661,0.04965,0.00291,0.003564,23517,0.81645,19200.45,0,1,0,0,,0,SYNTH_0042,2026-03-02T07:54:05.680683+00:00
